	ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT2G01010.1	104526	109761	87679	85615	99803.1784028546	-0.563790234767923	0.100757401415487	-5.59552178646465	2.19959223029139e-08	1.64969417271855e-07	1.64969417271855e-07	2
transcript:AT3G41768.1	128718	134377	109574	105925	123174.859452413	-0.545773856282456	0.100792093918735	-5.41484788204215	6.1340832465788e-08	3.0670416232894e-07	3.0670416232894e-07	3
transcript:ATMG01390.1	19036	17492	12361	11468	15716.0635572833	-0.879532212291496	0.118048864246544	-7.45057750369033	9.29325266778847e-14	1.3939879001682699e-12	1.3939879001682699e-12	1
