ID of mobile RNA producing gene	  direction				   condition			tissue					 binomial  mobility score (max of  transcript isoforms)	total degree of penetrance across all datasets [log2(alt read count/ref read count)] (max of all transcript isoforms)	FPKM (mean across replicates)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
	PED to COL	COL to PED	shoot to root	root to shoot	FN	-N	-P	root	rosette	lower stem	upper stem	flower			 Cr*Cs	 CrCs*	 PrPs*	 Pr*Ps	  Cr*Ps	  PrCs*	  Cr*Ps -N	  Cr*Ps -P	  Pr*Cs	  CrPs*	  CrPs* -N	  CrPs* -P	 Pr*Cs FN_root	 PrCs* FN_rosette	 PrCs* FN_stemLower	 PrCs* FN_stemUpper	 PrCs* FN_flower																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G17705		COL to PED	shoot to root		FN			True					3.36788E-07	-6.096526924	27.00870823	17.51038465	11.18705879	10.14552032	16.36069492	28.10780145	21.50793989	19.88328376	9.5106358	8.933748536	7.227076557	10.04093939	29.9517866	105.53142	55.54593566	54.71885492	50.66470679																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G17710	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True				6.40289E-06	-6.895815022	70.52060605	45.43992424	16.68492321	108.3516751	33.74172545	37.3425665	55.41759846	31.12551559	63.16287959	11.33849872	44.88898818	7.156013687	82.4026088	72.63438088	67.54614532	97.43847749	72.58267784																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G17760	PED to COL			root to shoot	FN				True				2.45463E-09	-6.108524457	50.33357131	55.01761452	27.91524393	45.50945036	66.26948805	57.94608758	80.79936935	82.46937514	55.98888035	65.712802	30.59697838	38.75278382	70.14786952	57.39635036	45.24704846	51.35319466	55.40068859																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G17790		COL to PED	shoot to root		FN			True					3.71752E-07	-6.79554562	66.85472146	50.26465707	34.18063313	57.89873708	71.00263656	46.70770966	83.73570383	80.05899683	80.21539316	56.50001013	58.41868495	53.82887739	60.63530505	28.76943513	33.08560937	28.60244903	32.29230767																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G17980		COL to PED	shoot to root		FN			True					6.24482E-08	-6.022367813	65.66435397	55.77005058	35.61805602	59.76256498	60.88817671	47.85715486	66.45105444	56.12319492	53.73465616	50.33457035	47.38712297	37.59043527	52.60074511	30.1363381	34.11292194	36.61627123	43.71102975																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G18020	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True	True	True		3.38516E-05	-8.157523363	155.1083243	221.11636	623.9398814	913.2366843	259.6950057	219.973656	146.8588241	161.5741322	298.0638813	240.5235905	105.6757945	111.8642208	486.4127415	470.0913898	537.8698414	456.6433793	601.2541195																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G18040	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True				4.76248E-06	-7.358205702	51.41075655	78.50353381	133.6260663	179.4648957	74.9072533	67.23022981	69.23764273	81.97747576	79.57969073	57.35589182	47.72059211	57.13348872	145.365455	140.9277071	147.1197044	163.1875665	163.8955468																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G18050		COL to PED	shoot to root		FN			True					1.01842E-07	-6.236492618	116.4193919	18.26477914	5.171880433	23.07958657	36.71019837	9.078156384	19.09743854	41.78537184	52.85122881	12.94110879	89.73438297	57.40757859	85.46206104	9.092455815	13.73347477	33.73526522	20.71929545																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G18090	PED to COL	COL to PED	shoot to root	root to shoot	FN			True					9.62639E-07	-5.46685281	83.22828888	61.13722273	18.2750612	30.7476772	64.046096	88.30786901	66.6429979	71.7003672	66.57218997	39.63179333	43.19659249	53.02904111	47.98132401	39.83146308	57.84919047	64.27643247	68.51329736																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G18110		COL to PED	shoot to root		FN			True					4.57438E-07	-7.266140317	70.12667911	57.73583412	85.03205234	119.9429909	71.92414118	48.71135717	43.4800414	47.7419097	69.46772624	43.42120909	37.1989039	35.58421151	88.7513235	100.6246594	101.1682565	93.52335872	92.07133131																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G18220	PED to COL		shoot to root				-P						5.0988E-06	-4.181329765	29.68672639	20.16176233	16.60694771	27.01697901	38.41503889	20.00599649	21.92147559	23.55899614	43.96297622	24.91559459	23.4729248	17.94699777	26.44426165	13.77516195	16.26487408	13.42823348	19.2102854																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G18280	PED to COL	COL to PED	shoot to root	root to shoot	FN				True				8.64569E-08	-4.499845887	105.135125	25.78012997	3.7692221	23.10890169	61.65510867	20.01277523	22.99170645	23.85253535	90.77741126	18.2468669	28.73181205	17.36809733	52.23489235	15.73009811	15.44606485	14.42730987	11.46182077																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G18690	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True			True	3.44044E-06	-6	87.99919264	42.46074503	0.207604418	1.93440156	46.84299607	129.1358355	202.7768987	201.7366216	26.13353345	76.71973042	2.83798548	21.28991715	72.45462695	292.3784751	108.6407522	63.25462736	57.83491971																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G18730	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True				7.38504E-07	-5.604591626	59.4011097	53.97472503	50.07476938	46.93386835	59.5398339	57.75266306	69.5520414	94.88897918	59.47514398	50.02306199	79.30478065	94.99411252	50.57135155	42.05983072	53.30332586	62.03246625	60.18104496																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G18790	PED to COL		shoot to root				-P						2.44761E-08	-6.683696454	47.00549722	49.85156159	49.74193534	39.72029962	80.57847124	45.96173492	48.34609858	51.25248641	91.5193307	54.45684027	60.22826493	62.86475151	44.59530292	16.49315965	23.78391976	24.29269612	28.30674114																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G18960	PED to COL	COL to PED	shoot to root	root to shoot	FN	-N		True	True				4.91844E-05	-8.581289979	748.4904772	751.6668322	442.1878492	379.1779337	692.8091349	654.3669031	861.1982891	700.7564352	488.2241364	786.637031	1065.501551	913.8726937	440.1492826	305.6722536	305.5975811	341.7404031	289.3505641																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G19110	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True				7.74494E-05	-7.070685501	396.6479671	48.92107126	12.40311136	80.95299397	200.5145784	43.74668023	156.2605505	150.9829007	220.3527687	19.23065699	27.87089882	22.9885266	114.5234951	5.882248845	21.37572383	26.03177523	48.61440565																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G19130	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True				4.94616E-07	-6.711555281	69.99637539	29.3416132	20.14259053	24.63822679	72.17408814	71.70098653	67.52350231	52.19659266	47.52565319	85.27103524	37.58456714	47.5008521	60.58038925	95.57605121	45.22622038	37.00611293	21.46714357																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G19480	PED to COL	COL to PED	shoot to root	root to shoot	FN	-N		True	True	True			1.69675E-06	-5.416678647	49.07738133	35.43316406	17.20262594	46.36969528	48.00779039	34.02640284	35.41990066	30.2826043	75.74004006	44.27057953	40.79032975	30.71942679	74.30512232	40.16726488	52.03694008	52.65079524	45.81210696																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G19540		COL to PED	shoot to root		FN			True					3.72162E-07	-7.336283388	77.63899973	51.12474623	73.69906313	76.894369	76.55121088	50.93488053	57.12534321	48.6806654	84.72278854	65.75830506	75.23518155	56.74075844	85.64086654	63.41179067	60.0614614	56.61074483	63.36795225																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G19710	PED to COL			root to shoot	FN								2.76281E-08	-7.189824559	28.04483491	22.72275035	5.691405318	11.75767432	30.28037341	72.99911231	45.96605204	41.99774366	22.93716899	18.440041	17.72284039	26.22694803	20.87357069	37.10511027	49.60757985	47.17584414	39.95810093																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G19790	PED to COL			root to shoot	FN				True				4.15476E-09	-7.341333494	31.40757874	29.26682629	90.51941259	94.35808724	30.67729199	27.19283795	27.76801628	27.22673314	34.87127202	30.08471896	30.92579922	30.87843723	70.17868133	66.96732009	67.33272636	68.90098846	65.83444151																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G20230	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True				5.4114E-08	-7.154687366	93.61854513	68.58935669	97.45322299	259.1217682	69.07057666	45.87465753	30.65704626	33.51224325	139.9120835	46.29626545	48.94543335	41.32305703	194.2412583	89.29874123	89.69595274	92.72336946	65.61828164																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G20260	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True	True			1.34842E-06	-8.655099944	2.505937291	142.6098262	1632.970519	6.962658801	1.258917558	116.6871232	1.389638778	0.715022012	1.090669852	155.4909405	147.1741513	145.4640018	4.480662768	514.3919723	545.082256	440.86576	324.4893283																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G20320	PED to COL		shoot to root				-P						2.67781E-10	-6.909293086	66.87783738	39.27867397	6.503122521	15.75131095	61.74224433	35.13724039	79.89803582	64.38976248	39.44209209	29.14186709	31.66751343	28.32727269	25.42349873	13.27714774	11.59456164	13.33229248	17.32313598																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G20340		COL to PED		root to shoot	FN								3.34763E-12	-5.550197083	7.180456289	24.40169955	57.87246305	8.367193682	10.2452398	37.84139638	25.93629399	10.5775467	14.06318643	89.17669579	83.31587172	105.1763225	11.72752956	29.6976917	34.51943203	33.52279553	18.28938685																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G20360		COL to PED	shoot to root		FN			True					6.88594E-07	-6.705230686	84.07909793	97.40973356	109.6589961	147.2480209	110.8465451	91.59151711	111.5021264	119.1194885	95.75395727	76.45914836	77.3048298	77.20836639	98.73182434	74.71378322	98.80987738	109.0711942	135.1130094																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G20370		COL to PED	shoot to root		FN			True					1.67644E-11	-6.115885162	19.21193676	18.4395409	27.19205412	57.24132318	35.81661713	31.02550899	32.07607464	40.39755921	50.0477935	40.63462653	29.63639806	36.33203508	40.05662998	21.972102	28.70731818	25.79156165	29.09804033																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G20420	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True				4.53951E-05	-7.63262699	119.795142	128.5307289	132.2383486	178.6388552	171.6615188	148.6454845	192.6680809	171.250734	137.9118226	142.13803	124.4321689	120.0990872	159.6318648	149.4279497	145.3546143	153.7711818	180.5861697																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G20450		COL to PED	shoot to root	root to shoot	FN			True					7.36883E-07	-6.794236298	47.18929467	63.05520056	134.6506875	135.0078882	83.36415211	54.86859301	64.66958598	72.91037811	93.67532247	62.86864966	43.16017928	38.56593239	104.1823664	88.75536549	104.3747936	99.57434061	130.1469571																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G20580	PED to COL	COL to PED	shoot to root	root to shoot	FN				True				6.34441E-06	-6.552563669	82.48496633	91.71005006	79.70492397	90.82366254	87.25555215	85.49993576	152.5055154	114.6380766	82.3923334	98.0928964	113.5656721	88.42538583	70.50983559	41.0759664	55.11928587	54.21795916	74.3362546																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G20690		COL to PED	shoot to root		FN			True					7.37887E-09	-5.602884409	20.01354925	38.13682461	86.16512903	40.45661428	18.40255726	33.02282072	10.95037738	10.50276051	31.82835197	43.40693979	42.45150118	38.93679988	32.31981571	51.05364934	38.85636549	34.57093065	32.26290291																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G20890		COL to PED	shoot to root		FN			True					3.91781E-05	-5.079727192	16.11081307	169.8506579	558.1521935	46.02083091	18.56977765	155.0610106	12.33316355	12.85622983	25.58269144	199.3107018	186.454175	190.7948711	37.0258892	318.8966738	312.2628415	262.2755591	254.544246																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G20960		COL to PED	shoot to root		FN			True					1.71054E-08	-6.771961016	97.26573204	84.02026354	29.16723226	33.85219848	77.46162483	224.3400974	91.6611083	61.04120109	58.58794831	81.51274315	57.43549441	66.11573223	69.73327224	188.1502097	139.5319031	124.2319096	82.56781213																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G21045	PED to COL			root to shoot	FN				True				0.001853187	3.544320516	94.61763438	0.056403348	0.149952302	401.4985078	150.3087362	0.085539316	60.1153394	82.08433473	155.4829088	0.0348747	0.079817526	0.035661855	384.1125275	0.889732873	0.250606059	0.047648239	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT2G21160		COL to PED	shoot to root		FN			True					4.46686E-06	-8.039302225	46.65110684	46.24089658	47.42424874	86.90211503	75.21327088	42.78838627	52.5430645	63.19244807	88.87116068	59.72736748	35.48285895	43.27311844	128.8895764	74.01303022	74.46442109	70.94711229	82.64646416																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
