WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04247.1	95	156	62	179	119.159753160316	-0.0949313345255776	0.433638856648855	-0.21891796150189	0.826713954565484	0.999461769492062	1	1301
transcript:AT1G04253.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04295.1	171	168	191	119	162.031824418397	-0.14048918126132	0.348058167693826	-0.40363707650413	0.686479617024362	0.999461769492062	1	924
transcript:AT1G04257.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04283.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04287.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04293.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04297.1	10	24	11	23	16.4081231713906	-0.00924951687714956	0.845704646773371	-0.0109370533938052	0.991273667929472	0.999461769492062	1	1624
transcript:AT1G04303.1	14	31	26	32	25.0756282645358	0.36926691924011	0.682030255092847	0.54142307688365	0.588216004698059	0.999461769492062	1	638
transcript:AT1G04307.1	0	2	0	0	0.459410172311877	-2.35999463097399	4.90080973622628	-0.4815519797737	0.630124245835037	1	1	791
transcript:AT1G04313.1	5	5	6	5	5.21819898301301	0.117018727124082	1.38831891896721	0.0842880735293395	0.932827394602707	1	1	1487
transcript:AT1G04323.1	5	7	1	4	4.14951189080645	-1.30768067757275	1.61558766535454	-0.809414868419272	0.418276552665642	1	1	398
transcript:AT1G04327.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04333.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04337.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04343.1	76	126	67	89	87.5435158457799	-0.383569312167935	0.395833341278876	-0.969017190236382	0.332536612373561	0.999461769492062	1	288
transcript:AT1G04347.1	29	41	29	51	36.6209166380728	0.164350675496974	0.570557405407431	0.288052830336349	0.773306298860298	0.999461769492062	1	1118
transcript:AT1G04353.1	175	204	135	177	170.319759654795	-0.308873894891446	0.298403747804039	-1.03508718360428	0.300628197388346	0.999461769492062	1	245
transcript:AT1G04357.1	3	5	0	2	2.42515918571309	-2.0529886468831	2.22846139908414	-0.921258338926958	0.356915566434527	1	1	317
transcript:AT1G04363.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04367.1	1	3	0	2	1.42389958608047	-1.03615668349956	2.76775492830035	-0.374367207480992	0.708131136708387	1	1	963
transcript:AT1G04373.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04377.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04383.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04387.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05562.1	4246	4375	3248	1534	3353.07679045504	-0.847606533946714	0.59308680858751	-1.42914413484489	0.152962810512107	0.999461769492062	1	104
transcript:AT1G04397.1	0	1	0	0	0.229705086155938	-1.43360219696878	4.99148991296172	-0.287209274578728	0.773952085268391	1	1	1141
transcript:AT1G04403.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04407.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04413.1	15	13	14	17	14.6221124246456	0.107351719631817	0.852745007793345	0.125889590265221	0.899819322882178	0.999461769492062	1	1426
transcript:AT1G04417.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04427.1	1	7	13	9	7.33626396914719	1.51108398882432	1.28718783102882	1.17394210261959	0.240418216915875	1	1	188
transcript:AT1G04433.1	89	127	108	122	109.57749899158	0.077507767288302	0.351010148215561	0.220813465600155	0.8252376783346	0.999461769492062	1	1296
transcript:AT1G04437.1	10	7	10	16	10.6203945663982	0.555344950771863	1.00712702486758	0.551415002337846	0.581349218748385	0.999461769492062	1	624
transcript:AT1G06002.1	634	815	454	544	602.837733817627	-0.557901802832724	0.211417142657978	-2.63886738709394	0.00831835135024184	0.402465639755993	1	18
transcript:AT1G04443.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
