WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G49952.1	6	2	6	2	4.06735808259497	-0.320629916186407	1.72819080534021	-0.185529233922344	0.852813952914421	0.980159736305238	1	210
transcript:AT1G50055.1	109	74	101	140	104.73234179029	0.112245294848214	0.40204924510443	0.279182951379648	0.780104426511011	0.955743576697009	1	193
transcript:AT1G07647.1	29	22	14	14	20.2881368815882	-1.14425624739037	0.787798374935833	-1.45247348026526	0.146369997858002	0.396324917277051	0.799731727427054	69
transcript:AT1G50659.1	191	212	283	183	213.399526029323	-0.048113555511955	0.291260014432246	-0.165191077140276	0.868793588194094	0.983792493241733	1	214
transcript:AT1G07757.1	10	9	7	6	8.09461478326897	-0.816561451815248	1.20294926465811	-0.678799576844434	0.497264861949965	0.812953933472263	1	126
transcript:AT1G52347.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G52347.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G52615.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G52615.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G07847.1	17	29	21	24	22.2749072022748	-0.263757791178945	0.739935895022229	-0.356460327108501	0.721495857754726	0.930240589789958	1	178
transcript:AT1G07963.1	26	21	59	61	39.8767274542371	1.07985786957479	0.5734973178058	1.88293447248599	0.0597092487993803	0.250210185445022	0.523497367380613	43
transcript:AT1G07977.1	0	0	1	0	0.224551780923405	1.18321089284256	4.99726510796943	0.236771687568792	0.812833917117249	1	1	202
transcript:AT1G55525.1	2	0	41	81	28.0984174968146	5.65339566464543	1.22133347765076	4.62887144919646	3.67663903115874e-06	5.88262244985398e-05	0.000126008446795168	11
transcript:AT1G57835.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G58590.2	7	6	22	12	11.1947562064915	1.11675079284041	1.05975254395531	1.05378448885093	0.291981596597867	0.611770964300292	1	92
transcript:AT1G58590.1	1	1	2	0	0.990306330790599	-0.266028753782909	3.44049284203943	-0.0773228621586709	0.938366703978805	1	1	229
transcript:AT1G58808.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G08253.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G08427.1	27	22	30	32	27.354475664755	0.0657869027716952	0.673295762023846	0.0977087729973938	0.922163549050116	0.995480276045138	1	227
transcript:AT1G08493.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G08547.1	27	33	56	108	53.0543791178582	1.20085761336554	0.532746388957398	2.25408869634134	0.0241905886417269	0.11826510002622	0.253329219942529	36
transcript:AT1G64563.1	40	53	92	80	63.5615772069394	0.640163893128047	0.449917330440134	1.42284782073587	0.154780275179888	0.406586991517319	0.82186146116645	71
transcript:AT1G64572.1	64	114	142	122	106.322034208099	0.338434713693401	0.371339168801537	0.911389753969848	0.36209005027244	0.677822825034439	1	105
transcript:AT1G64618.1	5	2	2	0	2.42087224005889	-2.12489302050902	2.39108480636087	-0.888673214290136	0.374178730620104	1	1	110
transcript:AT1G08747.1	70	104	50	51	68.954748730371	-1.0241456005067	0.436288370931533	-2.34740522265128	0.0189046820748337	0.0978595307403157	0.209619563006244	34
transcript:AT1G08747.2	266	297	145	198	228.837754361541	-0.970927857846148	0.272021037279745	-3.5693116516119	0.000357920436675367	0.00366884514159573	0.0078588330589863	16
transcript:AT1G66173.1	18	14	16	9	14.3886943047245	-0.634432707115844	0.92991640884967	-0.682247028956778	0.495082761682094	0.812953933472263	1	125
transcript:AT1G08823.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G67105.1	64	54	62	79	63.9587651213018	-0.0150156523851363	0.461305372611789	-0.0325503522755905	0.974033161972448	0.995480276045138	1	241
transcript:AT1G67238.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G08933.1	0	0	2	0	0.449103561846809	2.18050413351932	4.89256248343658	0.445677319584832	0.655830349993681	1	1	168
transcript:AT1G68568.1	161	158	318	299	225.354605607862	0.688130093358518	0.264101811039916	2.6055485596595	0.00917272702065495	0.0520774179237184	0.111552196347965	31
transcript:AT1G68568.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G68568.3	0	0	0	4	0.903648677468575	3.18854680867726	4.24107717538741	0.751824755083829	0.452156452929555	1	1	118
transcript:AT1G68872.4	2	4	4	1	2.69602160861959	-0.488971442560569	2.0596617626441	-0.237403757951427	0.812343574634972	1	1	200
transcript:AT1G68872.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G68872.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G68872.3	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G69252.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G69252.1	0	1	0	0	0.244748388835622	-1.6616118788516	4.99053578040508	-0.33295260308037	0.739170061015437	1	1	184
transcript:AT1G09073.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G70185.1	2	7	5	11	5.91394024972129	0.630787764257992	1.44559760953434	0.436350862852619	0.662582184082976	0.883442912110635	1	170
