WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G49832.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G49952.1	6	2	2	10	4.93364668059518	0.428522487768654	1.55105271864247	0.276278480169075	0.782334183250567	0.977839680860975	1	180
transcript:AT1G50055.1	109	74	84	108	93.8543054006462	-0.0124766948876559	0.38578706461929	-0.0323408844720297	0.974200205150752	0.99678481497999	1	228
transcript:AT1G07647.1	29	22	20	38	27.0092931873062	0.0963223084590902	0.664653112235334	0.14492117269284	0.884773109515686	0.977839680860975	1	216
transcript:AT1G50659.1	191	212	173	233	200.114024318561	-0.0447411547986494	0.2516543014001	-0.177788158397167	0.858889347422097	0.977839680860975	1	208
transcript:AT1G07757.1	10	9	4	6	7.25756761858035	-0.996366302037223	1.22420834047503	-0.813886222708306	0.415710134043696	0.977839680860975	1	65
transcript:AT1G52347.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G52347.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G52615.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G52615.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G07847.1	17	29	23	29	24.0112901743124	0.147316223528632	0.680321672840149	0.216539071750616	0.828567572662095	0.977839680860975	1	198
transcript:AT1G07963.1	26	21	34	42	30.5134415896082	0.624924866134042	0.611934793533966	1.02122787057924	0.307146490711037	0.977839680860975	1	42
transcript:AT1G07977.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G55525.1	2	0	3	2	1.79478311495252	1.19453340836216	2.55811344013916	0.466958732016661	0.640529403762468	0.977839680860975	1	136
transcript:AT1G57835.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G58590.2	7	6	3	5	5.24659319985763	-0.777162528852558	1.42526175737383	-0.545277051623518	0.585562984785691	0.977839680860975	1	112
transcript:AT1G58590.1	1	1	1	1	0.996719901624761	-0.0493031447242281	3.07465934877126	-0.0160353194066625	0.98720621450104	0.99678481497999	1	234
transcript:AT1G58808.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G08253.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G08427.1	27	22	39	39	31.6379748588198	0.611105471617299	0.601845266295731	1.01538635566341	0.309921694489461	0.977839680860975	1	43
transcript:AT1G08493.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G08547.1	27	33	40	54	37.8579058544569	0.597544806181765	0.543665030141492	1.09910473003248	0.271722386997961	0.977839680860975	1	35
transcript:AT1G64563.1	40	53	63	55	52.2851625761084	0.314869166338368	0.468669233415183	0.671836647018458	0.501687695698149	0.977839680860975	1	91
transcript:AT1G64572.1	64	114	55	83	77.276432152391	-0.400048850158667	0.406428222777383	-0.984303814889818	0.324966154356347	0.977839680860975	1	46
transcript:AT1G64618.1	5	2	0	0	1.84649177157001	-4.3544680594547	2.8149756716987	-1.54689367415633	0.121888886702604	0.977839680860975	1	12.5
transcript:AT1G08747.1	70	104	100	90	89.9802804734268	0.103529767740506	0.366690336345502	0.282335686214972	0.777686124498541	0.977839680860975	1	178
transcript:AT1G08747.2	266	297	244	272	267.884565953167	-0.173491585756763	0.217477777627065	-0.797743970210462	0.425019081859683	0.977839680860975	1	68
transcript:AT1G66173.1	18	14	9	29	17.1921580917878	0.142115457598241	0.851356147456832	0.166928327260886	0.867426443930226	0.977839680860975	1	210
transcript:AT1G08823.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G67105.1	64	54	88	60	66.8361985173803	0.283091193902806	0.446963529070377	0.633365309450632	0.526495113409205	0.977839680860975	1	101
transcript:AT1G67238.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G08933.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G68568.1	161	158	111	84	129.124996920705	-0.750993029595606	0.327684796096832	-2.29181530098724	0.0219163033638967	0.754503412179151	1	6
transcript:AT1G68568.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G68568.3	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G68872.4	2	4	5	1	3.006368810902	0.0377687739420663	1.90439934809134	0.0198323812596972	0.984177086449282	0.99678481497999	1	231
transcript:AT1G68872.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G68872.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G68872.3	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G69252.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G69252.1	0	1	0	0	0.229714840391629	-1.45149300576055	4.99064283381827	-0.290842894210892	0.771171477849738	0.977839680860975	1	174
transcript:AT1G09073.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G70185.1	2	7	3	6	4.31806560005204	-0.0128889680459217	1.58214711812574	-0.0081465041387494	0.993500102018117	0.99678481497999	1	237
transcript:AT1G70518.1	95	80	75	101	87.4001261022901	-0.0627790633288963	0.377829330602647	-0.166157199147991	0.868033241293168	0.977839680860975	1	211
transcript:AT1G70581.1	10	16	10	4	9.97257015506019	-0.885922272944575	1.08099489972094	-0.819543434639029	0.412476431345899	0.977839680860975	1	64
transcript:AT1G09277.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G09583.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G77138.1	13	27	14	21	18.2646966838072	-0.217859965772457	0.788021500524076	-0.276464494468195	0.782191326612802	0.977839680860975	1	179
transcript:AT1G78865.1	66	67	47	52	57.8550663821337	-0.478792938261635	0.442932091195805	-1.08096240434739	0.279713837500902	0.977839680860975	1	36
transcript:AT1G09837.1	31	55	30	59	42.5576503437873	0.00581112961812303	0.542819155489349	0.0107054615876338	0.991458440636888	0.99678481497999	1	236
transcript:AT1G09843.1	64	71	69	83	71.0495159103585	0.120256944802715	0.398685382995783	0.301633693964614	0.762931319553921	0.977839680860975	1	165
transcript:AT1G79075.1	2	11	1	4	4.25773967546699	-1.38671683003509	1.6851511166789	-0.82290354634072	0.410562845857209	0.977839680860975	1	61
transcript:AT1G79075.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G09903.1	30	70	60	62	54.2356092578605	0.281611027840743	0.488574390955876	0.576393345729362	0.564349341151872	0.977839680860975	1	108
transcript:AT1G09923.1	2	1	4	2	2.28527094783039	0.945399753945692	2.14715794816883	0.44030284532722	0.659717780223822	0.977839680860975	1	143
transcript:AT2G01422.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G01422.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G04705.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G05518.1	22	42	27	43	32.6312122683887	0.0969168039748219	0.601028062517363	0.161251711889945	0.871895153782466	0.977839680860975	1	213
transcript:AT2G05995.1	14	10	2	4	7.61774684544982	-2.09081822615	1.26797702683665	-1.64894014788752	0.0991598970699934	0.977839680860975	1	11
transcript:AT2G06002.1	22	24	27	33	26.2081486354441	0.331057100810735	0.646234252452983	0.512286526989408	0.608450493170552	0.977839680860975	1	124
transcript:AT2G06562.1	0	2	0	0	0.459429680783257	-2.36729676203187	4.90212593214193	-0.482912270064329	0.629158029187405	0.977839680860975	1	130.5
transcript:AT2G07042.1	72	110	86	41	77.0504095783967	-0.516031470846315	0.453760624646682	-1.13723281134876	0.255440973863208	0.977839680860975	1	33
transcript:AT2G10537.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G05685.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G14878.1	697	695	823	852	762.57878464632	0.215506785887939	0.157008323933302	1.37258191469828	0.169882357383624	0.977839680860975	1	21
