ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:at1g62035	0	0	7	1	2.30419760171688	4.77206251866911	2.6949710968008	1.77072864504337	0.0766058366420056	0.930806914237344	1	11
transcript:at1g62355	7	6	2	7	5.28339289527276	-0.347964510225462	1.45724804699286	-0.238781936228024	0.811274677920609	0.930806914237344	1	119
transcript:at1g63005	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g08597	175	143	91	115	127.830604265782	-0.400648508692247	0.360785947945008	-1.11048811899214	0.266788745023966	0.930806914237344	1	26
transcript:at1g08783	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g08793	1	3	1	1	1.43479538673451	-0.734889449582016	2.66614739383263	-0.275637217687954	0.782826721008912	0.930806914237344	1	110
transcript:at1g08813	0	0	0	1	0.246211910434294	1.64642287773349	4.9910476562531	0.329875206795662	0.74149425797412	0.930806914237344	1	106.5
transcript:at1g66725	61	57	17	13	35.130882558466	-1.72421317797251	0.624829423401042	-2.75949421297632	0.00578909124482664	0.169041464348938	0.376290930913732	5
transcript:at1g66783	1	1	0	1	0.702106093186165	-0.794189959596207	3.87302417296392	-0.20505680422553	0.837527744487083	0.930806914237344	1	128.5
transcript:at1g66795	0	1	0	0	0.219345668825415	-1.18670155797119	4.99472609170708	-0.237590918136935	0.81219839512009	0.930806914237344	1	123
transcript:at1g67195	116	120	138	109	121.169924025713	0.323447899807141	0.377265039382122	0.857349253291208	0.391251895872134	0.930806914237344	1	39
transcript:at1g67481	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g69792	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g69795	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g69797	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g70645	1	1	0	1	0.702106093186165	-0.794189959596207	3.87302417296392	-0.20505680422553	0.837527744487083	0.930806914237344	1	128.5
transcript:at1g09213	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g71002	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g73687	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g09473	44	39	19	30	31.9349341720368	-0.543260659119406	0.624661247918974	-0.86968842861511	0.38447069757554	0.930806914237344	1	37
transcript:at1g76062	28	22	15	18	20.2907468303799	-0.371472897442482	0.762858457149106	-0.48694865208773	0.626294719743474	0.930806914237344	1	69
transcript:at1g76135	0	0	2	0	0.587995911795024	2.79988267449643	4.88429283046839	0.573242180941868	0.566480727846196	0.930806914237344	1	59
transcript:at1g09687	20	39	51	28	35.1732806056537	0.711858172031279	0.652732202623336	1.09058227734179	0.27545673139556	0.930806914237344	1	28
transcript:at1g77235	0	0	1	0	0.293997955897512	1.77576746210912	4.98250639573158	0.356400438066751	0.721540701354903	0.930806914237344	1	95
transcript:at1g78206	3	3	2	2	2.44810228091923	-0.342482956100244	2.04603173946719	-0.167388877451838	0.867064076215918	0.930806914237344	1	132
transcript:at1g78478	6	1	6	4	4.3874721295064	0.748988693404121	1.64339746693212	0.455756266195497	0.648565256143405	0.930806914237344	1	74
transcript:at1g09817	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g03855	25	21	25	27	24.5176423726589	0.412231305375418	0.69686047880231	0.591555006941874	0.554148610307213	0.930806914237344	1	53
transcript:at2g02741	6	4	2	1	3.13088158108971	-1.47683055532663	1.90644699040019	-0.77465073131492	0.438546071338551	0.930806914237344	1	43
transcript:at2g03445	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g04935	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g05415	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g05455	0	1	0	0	0.219345668825415	-1.18670155797119	4.99472609170708	-0.237590918136935	0.81219839512009	0.930806914237344	1	123
transcript:at2g10606	1	2	4	1	2.09744358560163	1.05684285991374	2.27950599909422	0.46362802306012	0.642914273493647	0.930806914237344	1	70
transcript:at2g05605	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g05615	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g05815	0	1	3	1	1.34755144695225	2.31166975016346	3.04669021245641	0.758747883428444	0.448003387090494	0.930806914237344	1	44
transcript:at2g16145	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g06665	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g07195	0	1	0	0	0.219345668825415	-1.18670155797119	4.99472609170708	-0.237590918136935	0.81219839512009	0.930806914237344	1	123
transcript:at2g19425	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g07205	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g07315	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g22496	0	3	0	0	0.658037006476246	-2.73679766457116	4.65468424337551	-0.58796634131867	0.556554885314696	0.930806914237344	1	54
transcript:at2g22668	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g07895	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g23347	0	7	1	2	2.32184145854401	-0.96407056818025	2.37023664825675	-0.406740216800419	0.684198799390853	0.930806914237344	1	84
transcript:at2g07915	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g07910	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g24103	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g08015	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g08035	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g25011	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g25095	5	1	4	2	3.07050388291633	0.248144344175978	1.91397153309556	0.129648921044631	0.89684419645648	0.930806914237344	1	137
transcript:at2g25171	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g26211	3	2	3	2	2.52275456799132	0.254594256904046	2.02505805239805	0.125721954786708	0.899952022352699	0.930806914237344	1	138
transcript:at2g28056	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g08235	55	33	45	40	43.3269597699536	0.188167356906111	0.569337526954891	0.330502290816007	0.741020461967523	0.930806914237344	1	103
transcript:at2g08275	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g32273	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g32698	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g08555	6	9	8	9	7.96129294407622	0.426336495338888	1.17585756214678	0.36257494875529	0.716922426617378	0.930806914237344	1	88
transcript:at2g34202	7	16	4	2	6.83378594315047	-1.64993962267957	1.35116511598518	-1.2211236089207	0.222039222028428	0.930806914237344	1	23
transcript:at2g34204	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g34208	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g08855	1	0	2	0	0.82454442572148	1.31794869776113	3.95515015884377	0.333223428904254	0.738965634059215	0.930806914237344	1	101.5
transcript:at2g38325	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g39175	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g09080	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g39885	0	2	0	0	0.438691337650831	-2.15309790087982	4.89603885787252	-0.439763237870911	0.660108595903426	0.930806914237344	1	80
transcript:at2g09120	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g09150	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g40805	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g41616	0	0	0	0	0	NA	NA	NA	1	1	1	236
