Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT3G13525.1	0	0	0	0
transcript:AT3G02725.1	0	0	0	0
transcript:AT3G02795.1	0	1	0	0
transcript:AT3G14475.1	31	20	5	13
transcript:AT3G03175.1	0	2	0	2
transcript:AT3G03415.1	0	0	0	0
transcript:AT3G03425.1	0	1	0	0
transcript:AT3G03445.1	1	1	0	0
transcript:AT3G03585.1	5	1	2	0
transcript:AT3G21805.1	6	10	3	12
transcript:AT3G04155.1	4	9	4	6
transcript:AT3G04165.1	16	20	9	13
transcript:AT3G04175.1	18	10	8	12
transcript:AT3G24612.1	1	0	0	0
transcript:AT3G24614.1	0	0	0	0
transcript:AT3G24615.1	7	0	4	0
transcript:AT3G04985.1	2	4	0	0
transcript:AT3G27865.1	4	2	2	5
transcript:AT3G05325.1	2	7	4	2
transcript:AT3G05335.1	4	13	18	15
transcript:AT3G05355.1	14	7	10	14
transcript:AT3G05715.1	4	9	3	4
transcript:AT3G07715.1	8	8	3	3
transcript:AT3G47342.1	7	14	12	13
transcript:AT3G07725.1	21	9	21	26
transcript:AT3G07735.1	23	10	20	23
transcript:AT3G47347.1	35	29	29	44
transcript:AT3G47348.1	94	60	56	70
transcript:AT3G08165.1	19	11	22	8
transcript:AT3G50825.1	29	21	22	24
transcript:AT3G08210.1	0	0	0	0
transcript:AT3G08275.1	0	2	0	2
transcript:AT3G08485.1	3	6	0	5
transcript:AT3G58193.1	0	0	0	0
transcript:AT3G58196.1	0	0	0	0
transcript:AT3G09225.1	0	4	0	0
transcript:AT3G09865.1	0	5	2	0
transcript:AT4G03915.1	0	2	0	13
transcript:AT4G03925.1	3	1	4	0
transcript:AT4G02555.1	1	2	0	0
transcript:AT4G04205.1	0	1	0	0
transcript:AT4G04465.1	4	0	0	0
transcript:AT4G03295.1	0	1	0	0
transcript:AT4G04475.1	1	1	0	0
transcript:AT4G04485.1	1	3	0	1
transcript:AT4G05045.1	0	0	0	0
transcript:AT4G05055.1	0	0	0	0
transcript:AT4G05048.1	0	0	0	0
transcript:AT4G06010.1	1	2	4	0
transcript:AT4G06015.1	0	3	0	0
transcript:AT4G13245.1	0	3	0	0
transcript:AT4G06240.1	7	7	5	6
transcript:AT4G06245.1	6	0	6	6
transcript:AT4G06250.1	1	0	8	3
transcript:AT4G06255.1	1	0	4	0
transcript:AT4G06305.1	0	3	6	2
transcript:AT4G06310.1	6	2	5	2
transcript:AT4G06315.1	3	3	1	1
transcript:AT4G06320.1	0	3	1	0
transcript:AT4G15258.1	13	5	12	6
transcript:AT4G06705.1	0	4	9	7
transcript:AT4G07075.1	4	6	0	0
transcript:AT4G25631.1	1	0	0	1
transcript:AT4G26365.1	1	2	0	1
transcript:AT4G07625.1	10	2	0	1
transcript:AT4G07635.1	0	0	0	0
transcript:AT4G08125.1	2	1	1	3
transcript:AT4G08155.1	5	2	3	1
transcript:AT4G08165.1	2	0	4	3
transcript:AT4G08175.1	1	5	3	0
transcript:AT4G08235.1	5	5	4	8
transcript:AT4G08325.1	0	0	0	0
transcript:AT4G08425.1	29	23	36	26
transcript:AT4G08615.1	2	0	0	1
transcript:AT4G08625.1	0	0	2	0
transcript:AT4G09475.1	4	4	8	1
transcript:AT4G39361.1	17	22	17	20
transcript:AT4G09845.1	16	12	14	7
transcript:AT4G39363.1	22	26	36	28
transcript:AT4G39364.1	21	34	31	23
transcript:AT4G39366.1	25	21	35	31
transcript:AT5G00750.1	0	7	1	0
transcript:AT5G00755.1	1	5	4	0
transcript:AT5G00760.1	3	7	2	4
transcript:AT5G00765.1	4	2	2	0
transcript:AT5G01135.1	0	1	2	0
transcript:AT5G01145.1	2	4	0	0
transcript:AT5G01165.1	6	5	6	2
transcript:AT5G01195.1	8	12	12	1
transcript:AT5G01495.1	2	0	0	4
transcript:AT5G01505.1	5	1	0	0
transcript:AT5G01515.1	0	3	0	1
transcript:AT5G01785.1	3	9	0	4
transcript:AT5G10572.1	6	4	3	2
transcript:AT5G13225.1	0	0	4	2
transcript:AT5G02295.1	0	0	0	0
transcript:AT5G02305.1	0	1	0	0
transcript:AT5G02315.1	0	0	2	1
transcript:AT5G02325.1	0	2	6	7
transcript:AT5G02565.1	26	34	4	18
transcript:AT5G02575.1	23	37	17	6
transcript:AT5G02655.1	7	0	1	2
transcript:AT5G02665.1	4	5	2	2
transcript:AT5G02675.1	2	0	2	0
transcript:AT5G02915.1	0	1	0	1
transcript:AT5G04425.1	1	9	3	2
transcript:AT5G04545.1	16	17	5	11
transcript:AT5G04945.1	0	0	0	0
transcript:AT5G05375.1	0	0	0	0
transcript:AT5G05385.1	0	0	0	0
transcript:AT5G06115.1	0	2	0	1
transcript:AT5G41471.1	33	27	5	6
transcript:AT5G06305.1	0	8	3	0
transcript:AT5G06565.1	0	0	0	0
transcript:AT5G44286.1	3	0	0	0
transcript:AT5G06825.1	1	4	1	2
transcript:AT5G06835.1	1	0	0	0
transcript:AT5G07095.1	23	7	4	3
transcript:AT5G07105.1	3	5	0	1
transcript:AT5G07725.1	5	9	11	4
transcript:AT5G51174.1	1	13	2	6
transcript:AT5G07735.1	0	4	0	1
transcript:AT5G52471.1	3	12	2	1
transcript:AT5G53902.1	43	44	19	32
transcript:AT5G54075.1	40	49	25	32
transcript:AT5G08495.1	9	22	6	9
transcript:AT5G08515.1	18	6	4	5
transcript:AT5G08525.1	5	1	3	3
transcript:AT5G08805.1	3	0	1	0
transcript:AT5G58595.1	1	1	0	0
transcript:AT5G08850.1	0	0	0	0
transcript:AT5G08860.1	1	8	1	0
transcript:AT5G08865.1	2	11	8	3
transcript:AT5G09000.1	0	0	0	0
transcript:AT5G09005.1	0	0	0	0
transcript:AT5G09020.1	2	0	0	0
transcript:AT5G09130.1	3	0	0	3
transcript:AT5G09495.1	5	3	2	6
transcript:AT5G09515.1	0	0	0	1
transcript:AT5G66562.1	5	2	1	1
transcript:AT5G66564.1	3	7	0	0
transcript:AT5G66567.1	1	0	0	0
