Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT1G07683.1	0	0	2	2
transcript:AT1G07693.1	115	155	178	217
transcript:AT1G07697.1	7	6	5	9
transcript:AT1G07703.1	37	26	11	10
transcript:AT1G07707.1	0	0	2	0
transcript:AT1G07717.1	0	0	0	1
transcript:AT1G07723.1	0	0	0	0
transcript:AT1G07733.1	90	78	61	43
transcript:AT1G07737.1	934	1248	1896	1989
transcript:AT1G07743.1	11	46	47	43
transcript:AT1G07753.1	102	109	140	153
transcript:AT1G51645.2	0	0	0	0
transcript:AT1G51645.1	0	0	0	0
transcript:AT1G51645.3	0	0	0	0
transcript:AT1G07763.1	0	0	0	0
transcript:AT1G07767.1	0	0	0	0
transcript:AT1G07773.1	0	0	0	0
transcript:AT1G07777.1	0	0	0	0
transcript:AT1G07783.1	0	0	0	0
transcript:AT1G07787.1	0	0	0	0
transcript:AT1G07793.1	0	0	0	0
transcript:AT1G07803.1	72	72	73	96
transcript:AT1G07807.1	59	79	102	95
transcript:AT1G07813.1	8	3	10	0
transcript:AT1G07823.1	32	12	15	7
transcript:AT1G07833.1	0	0	0	1
transcript:AT1G07837.1	0	0	0	0
transcript:AT1G07843.1	0	0	0	0
transcript:AT1G07853.1	3	2	13	5
transcript:AT1G07857.1	0	0	0	0
transcript:AT1G07863.1	0	0	0	0
transcript:AT1G07873.1	0	0	0	0
transcript:AT1G53233.1	1324	1628	1141	1962
transcript:AT1G07877.1	62	49	94	79
transcript:AT1G07887.1	2	4	2	46
transcript:AT1G07893.1	899	771	408	663
transcript:AT1G07907.1	0	0	0	0
transcript:AT1G07913.1	1	0	2	2
transcript:AT1G07917.1	4	6	0	0
transcript:AT1G07923.1	0	0	0	0
transcript:AT1G07927.1	0	0	0	0
transcript:AT1G07933.1	6	4	8	7
transcript:AT1G53801.1	487	461	524	583
transcript:AT1G07937.1	6	14	2	15
transcript:AT1G07943.1	36	57	16	31
transcript:AT1G07947.1	0	0	0	0
transcript:AT1G54355.1	33	39	44	21
transcript:AT1G54355.2	211	266	221	212
transcript:AT1G07967.1	9	6	7	14
transcript:AT1G07973.1	0	0	0	0
transcript:AT1G07983.1	201	261	158	189
transcript:AT1G07987.1	57	53	37	38
transcript:AT1G07993.1	326	441	255	288
transcript:AT1G07997.1	0	0	2	0
transcript:AT1G08003.1	105	87	72	104
transcript:AT1G08007.1	2	0	0	0
transcript:AT1G08013.1	0	0	0	0
transcript:AT1G08017.1	0	0	0	0
transcript:AT1G08023.1	0	0	0	0
transcript:AT1G08027.1	0	0	0	0
transcript:AT1G08033.1	0	0	0	2
transcript:AT1G08037.1	252	306	265	191
transcript:AT1G08043.2	0	0	0	0
transcript:AT1G08043.1	0	0	0	0
transcript:AT1G08047.1	17	17	4	7
transcript:AT1G08057.1	0	0	0	0
transcript:AT1G08063.1	2	6	0	0
transcript:AT1G08073.1	235	232	200	231
transcript:AT1G08077.1	0	0	0	0
transcript:AT1G08087.2	0	0	0	0
transcript:AT1G08087.1	0	0	0	0
transcript:AT1G56165.1	17	6	9	12
transcript:AT1G08093.1	0	0	0	0
transcript:AT1G08097.1	0	0	0	0
transcript:AT1G08103.1	7	12	2	0
transcript:AT1G56242.1	57	37	34	11
transcript:AT1G08127.1	0	0	0	0
transcript:AT1G56612.2	0	0	0	0
transcript:AT1G56612.1	0	0	0	0
transcript:AT1G56612.3	0	0	0	0
transcript:AT1G08133.1	0	0	0	0
transcript:AT1G08137.1	0	0	0	0
transcript:AT1G08143.1	0	0	0	0
transcript:AT1G08147.1	0	0	0	0
transcript:AT1G08153.1	0	0	0	0
transcript:AT1G08173.1	2	3	0	0
transcript:AT1G08177.1	0	0	0	0
transcript:AT1G08183.1	1	0	0	0
transcript:AT1G08193.1	0	0	0	0
transcript:AT1G08207.1	0	0	0	1
transcript:AT1G08213.1	3	2	5	4
transcript:AT1G08217.1	0	0	0	0
transcript:AT1G08223.1	0	0	0	0
transcript:AT1G08227.1	0	0	0	0
transcript:AT1G08237.1	0	0	1	0
transcript:AT1G08247.1	0	0	0	0
transcript:AT1G08257.1	0	0	1	0
transcript:AT1G08263.1	0	0	0	0
transcript:AT1G08267.1	7	11	17	15
transcript:AT1G08273.1	6	13	11	20
transcript:AT1G08277.1	0	0	0	0
transcript:AT1G08283.1	12	14	14	19
transcript:AT1G08293.1	3	13	2	2
transcript:AT1G08297.1	0	0	0	0
transcript:AT1G08307.1	0	0	0	1
transcript:AT1G08313.1	0	0	0	0
transcript:AT1G08317.1	501	467	221	221
transcript:AT1G08323.1	4	4	6	3
transcript:AT1G60505.4	0	0	0	0
transcript:AT1G60505.2	0	0	0	0
transcript:AT1G60505.5	0	0	0	0
transcript:AT1G60505.1	0	0	0	0
transcript:AT1G60505.3	0	0	0	0
transcript:AT1G60505.6	0	0	0	0
transcript:AT1G60505.7	0	0	0	0
transcript:AT1G60525.1	0	0	0	0
transcript:AT1G60525.3	0	0	0	0
transcript:AT1G60525.2	0	0	0	0
transcript:AT1G60545.2	0	0	0	0
transcript:AT1G60545.3	0	0	0	0
transcript:AT1G60545.1	0	0	0	0
transcript:AT1G60545.4	0	0	0	0
transcript:AT1G08333.1	3	5	7	6
transcript:AT1G08357.1	0	0	0	0
transcript:AT1G08363.1	0	0	0	0
transcript:AT1G08377.1	0	0	0	0
transcript:AT1G08383.1	0	1	0	0
transcript:AT1G08387.1	89	47	51	34
transcript:AT1G08393.1	1	1	4	6
transcript:AT1G08397.1	0	0	0	0
transcript:AT1G08403.1	0	0	0	0
transcript:AT1G08413.1	0	0	0	1
transcript:AT1G08417.1	0	0	0	0
transcript:AT1G08433.1	0	0	0	0
transcript:AT1G08437.1	0	0	0	0
transcript:AT1G08443.1	0	4	0	2
transcript:AT1G08447.1	0	0	0	0
transcript:AT1G08453.1	0	0	0	0
transcript:AT1G08457.1	0	0	0	0
transcript:AT1G08463.1	0	0	0	0
transcript:AT1G08473.1	0	0	0	0
transcript:AT1G08477.1	2216	2146	1399	1356
transcript:AT1G08483.1	0	0	0	0
transcript:AT1G08487.1	0	2	0	0
transcript:AT1G08497.1	0	0	0	0
transcript:AT1G08503.1	0	0	0	0
transcript:AT1G08507.1	28	51	30	19
transcript:AT1G08513.1	73	89	82	48
transcript:AT1G08517.1	0	0	0	0
transcript:AT1G08523.1	0	0	0	0
transcript:AT1G08533.1	10	17	0	4
transcript:AT1G08537.1	49	46	34	22
transcript:AT1G08543.1	225	223	166	169
transcript:AT1G08553.1	0	0	1	0
transcript:AT1G08557.1	6	4	3	5
transcript:AT1G08563.1	0	3	1	3
transcript:AT1G08567.1	11	10	4	8
transcript:AT1G08573.1	1	0	0	1
transcript:AT1G08577.1	9	7	0	2
transcript:AT1G08583.1	0	1	2	0
transcript:AT1G08587.1	0	0	0	0
transcript:AT1G08603.1	0	0	0	0
transcript:AT1G08607.1	0	2	1	3
transcript:AT1G08613.1	0	0	0	0
transcript:AT1G08623.1	0	0	0	0
transcript:AT1G08627.1	0	0	0	0
transcript:AT1G08633.1	176	148	164	207
transcript:AT1G08637.1	0	0	0	0
transcript:AT1G08647.1	52	90	52	81
transcript:AT1G08653.1	0	0	0	0
transcript:AT1G08657.1	761	742	499	577
transcript:AT1G08663.1	1	2	2	3
transcript:AT1G08667.1	71	39	49	85
transcript:AT1G08673.1	0	0	0	0
transcript:AT1G08683.1	0	0	0	0
transcript:AT1G08677.1	0	0	0	0
transcript:AT1G08697.1	1	2	11	14
transcript:AT1G08703.1	1	1	2	0
transcript:AT1G08707.1	18	27	23	25
transcript:AT1G08713.1	10	14	19	6
transcript:AT1G08717.1	0	0	0	0
transcript:AT1G08723.1	32	37	46	49
transcript:AT1G08727.1	182	184	161	187
transcript:AT1G08733.1	20	13	13	13
transcript:AT1G08743.1	0	0	0	0
transcript:AT1G08753.1	22	41	50	64
transcript:AT1G08753.2	35	9	22	33
transcript:AT1G08757.1	4	4	0	0
transcript:AT1G08763.1	3	0	0	0
transcript:AT1G08767.1	0	0	0	0
transcript:AT1G08773.1	0	0	0	0
transcript:AT1G08777.1	1	0	0	0
transcript:AT1G08787.1	0	0	0	0
transcript:AT1G08797.1	391	327	329	377
transcript:AT1G08803.1	236	106	157	125
transcript:AT1G08807.1	0	0	0	0
transcript:AT1G08817.1	0	0	0	0
transcript:AT1G08827.1	0	0	0	0
transcript:AT1G08833.1	0	4	0	0
transcript:AT1G08843.1	0	0	0	0
transcript:AT1G08847.1	48	55	16	21
transcript:AT1G08853.1	2	0	0	2
transcript:AT1G08857.1	20	14	6	4
transcript:AT1G08857.2	173	130	58	68
transcript:AT1G08863.1	0	0	0	0
transcript:AT1G08867.1	0	0	0	0
transcript:AT1G08877.1	0	1	1	1
transcript:AT1G08883.1	0	0	0	1
transcript:AT1G08887.1	0	0	0	0
transcript:AT1G08893.1	0	0	0	0
transcript:AT1G08897.1	0	0	0	0
transcript:AT1G08903.1	9	13	8	24
transcript:AT1G08907.1	0	0	0	0
transcript:AT1G08913.1	0	0	0	0
transcript:AT1G08923.1	0	0	0	0
transcript:AT1G67328.1	230	250	266	302
transcript:AT1G08927.1	4	0	0	0
transcript:AT1G67365.1	88	132	71	61
transcript:AT1G08947.1	25	30	0	0
transcript:AT1G08953.1	2	0	0	3
transcript:AT1G67792.3	0	0	0	0
transcript:AT1G67792.1	0	0	0	0
transcript:AT1G67792.2	0	0	0	0
transcript:AT1G67792.4	0	0	0	0
transcript:AT1G08963.1	17	18	13	11
transcript:AT1G08967.1	0	0	0	0
transcript:AT1G08973.1	0	0	0	0
transcript:AT1G08973.2	108	99	27	41
transcript:AT1G08977.1	0	0	1	0
transcript:AT1G08983.1	0	0	0	0
transcript:AT1G08993.1	0	1	0	0
transcript:AT1G08997.1	0	0	0	0
transcript:AT1G09003.1	3	2	13	0
transcript:AT1G09007.1	0	6	0	0
transcript:AT1G09013.1	0	0	0	2
transcript:AT1G09017.1	0	0	0	1
transcript:AT1G09023.2	0	0	0	0
transcript:AT1G09023.1	0	0	0	0
transcript:AT1G09023.4	0	0	0	0
transcript:AT1G09023.3	0	0	0	0
transcript:AT1G09023.5	0	0	0	0
transcript:AT1G09023.6	0	0	0	0
transcript:AT1G09033.1	0	0	0	0
transcript:AT1G09037.1	0	0	0	0
transcript:AT1G09043.1	0	0	0	0
transcript:AT1G09047.1	0	0	0	0
transcript:AT1G09053.1	264	273	307	304
transcript:AT1G09057.1	0	0	0	0
transcript:AT1G09063.1	0	0	0	0
transcript:AT1G09067.1	23	11	4	11
transcript:AT1G69572.1	0	0	0	0
transcript:AT1G69572.2	0	0	0	0
transcript:AT1G69572.3	0	0	0	0
transcript:AT1G69587.1	0	0	0	0
transcript:AT1G69587.2	0	0	0	0
transcript:AT1G69587.3	0	0	0	0
transcript:AT1G69587.4	0	0	0	0
transcript:AT1G09077.1	0	1	0	0
transcript:AT1G09097.1	0	0	0	0
transcript:AT1G09103.1	0	0	1	0
transcript:AT1G09107.1	0	0	0	0
transcript:AT1G09113.1	0	0	0	0
transcript:AT1G09117.1	0	0	0	0
transcript:AT1G09123.1	0	0	0	0
transcript:AT1G09127.1	3	3	0	2
transcript:AT1G09133.1	0	0	0	0
transcript:AT1G09137.1	0	0	0	0
transcript:AT1G09147.1	0	0	0	0
transcript:AT1G09153.1	0	1	0	0
transcript:AT1G09163.1	0	0	1	0
transcript:AT1G09167.1	8	8	11	7
transcript:AT1G09173.1	0	0	0	0
transcript:AT1G09177.1	0	0	0	0
transcript:AT1G09183.1	0	0	0	0
transcript:AT1G09187.1	0	0	0	0
transcript:AT1G09193.1	833	1088	1664	1982
transcript:AT1G09197.1	0	0	0	0
transcript:AT1G09207.1	0	0	0	0
transcript:AT1G09217.1	0	0	0	0
transcript:AT1G09223.1	14	15	24	23
transcript:AT1G09227.1	0	0	0	0
transcript:AT1G09233.1	5	8	8	5
transcript:AT1G09243.1	2	0	0	0
transcript:AT1G09247.1	50	72	54	55
transcript:AT1G09253.1	150	191	164	168
transcript:AT1G09257.1	10	51	14	22
transcript:AT1G71528.1	0	0	0	0
transcript:AT1G71528.2	0	0	0	0
transcript:AT1G71528.3	0	0	0	0
transcript:AT1G71528.4	0	0	0	0
transcript:AT1G09263.1	0	0	0	0
transcript:AT1G71828.1	4	2	2	4
transcript:AT1G09267.1	0	3	4	2
transcript:AT1G09273.1	0	1	0	0
transcript:AT1G09283.1	0	0	0	0
transcript:AT1G09287.1	89	95	63	30
transcript:AT1G09293.1	0	0	8	2
transcript:AT1G09297.1	233	230	49	42
transcript:AT1G09303.1	0	0	0	0
transcript:AT1G09307.1	0	0	0	0
transcript:AT1G09313.1	0	0	0	0
transcript:AT1G09317.1	2	6	5	7
transcript:AT1G09323.1	29	34	21	30
transcript:AT1G09327.1	33	20	18	44
transcript:AT1G09337.1	0	0	0	0
transcript:AT1G72852.1	2	5	5	2
transcript:AT1G72852.2	0	0	0	0
transcript:AT1G72852.3	0	0	0	0
transcript:AT1G72855.1	0	0	0	0
transcript:AT1G72855.2	0	0	0	0
transcript:AT1G72855.3	0	0	0	0
transcript:AT1G72855.4	0	0	0	0
transcript:AT1G09343.1	0	0	0	0
transcript:AT1G09353.1	19	8	4	10
transcript:AT1G09357.1	0	0	0	0
transcript:AT1G09363.1	465	441	499	556
transcript:AT1G09367.1	4	0	0	5
transcript:AT1G09373.1	0	0	0	0
transcript:AT1G09377.1	2	0	0	0
transcript:AT1G09383.1	49	37	56	42
transcript:AT1G09387.1	0	0	0	0
transcript:AT1G09393.1	0	0	0	0
transcript:AT1G09397.1	0	0	0	0
transcript:AT1G09407.1	0	0	0	0
transcript:AT1G09417.1	0	0	0	0
transcript:AT1G09423.1	5	3	8	3
transcript:AT1G74205.1	7	14	3	1
transcript:AT1G74205.2	0	0	0	0
transcript:AT1G09427.1	5	4	4	1
transcript:AT1G09433.1	75	65	16	11
transcript:AT1G09437.1	7	3	0	0
transcript:AT1G09443.1	54	86	139	140
transcript:AT1G09447.1	27	26	14	22
transcript:AT1G09453.1	20	44	27	28
transcript:AT1G09457.1	0	0	1	1
transcript:AT1G09463.1	0	3	0	1
transcript:AT1G09477.1	0	0	0	0
transcript:AT1G74545.1	0	2	4	2
transcript:AT1G74545.2	0	0	0	0
transcript:AT1G09487.1	117	83	83	74
transcript:AT1G09493.1	2	4	0	2
transcript:AT1G09497.1	0	0	0	0
transcript:AT1G09503.1	0	0	0	0
transcript:AT1G09507.1	0	0	0	0
transcript:AT1G09513.1	363	406	380	319
transcript:AT1G09517.1	19	23	15	24
transcript:AT1G09523.1	97	82	113	139
transcript:AT1G09527.1	5	5	7	4
transcript:AT1G09537.1	31	23	10	10
transcript:AT1G09543.1	37	25	64	55
transcript:AT1G09543.2	17	12	36	38
transcript:AT1G75295.1	17	18	16	23
transcript:AT1G75295.3	0	0	0	0
transcript:AT1G75295.2	0	0	0	0
transcript:AT1G75295.4	0	0	0	0
transcript:AT1G09547.1	0	0	0	0
transcript:AT1G09553.1	40	24	27	37
transcript:AT1G09557.1	4	4	0	0
transcript:AT1G09563.1	0	0	0	0
transcript:AT1G09567.1	0	0	0	0
transcript:AT1G09573.1	1	3	0	0
transcript:AT1G09577.1	0	0	0	0
transcript:AT1G09587.1	0	0	0	0
transcript:AT1G75891.1	1	4	10	0
transcript:AT1G75891.2	0	0	0	0
transcript:AT1G09593.1	0	0	0	0
transcript:AT1G09597.1	0	0	0	0
transcript:AT1G09603.1	1	0	1	1
transcript:AT1G09607.1	2	0	0	4
transcript:AT1G09613.1	0	0	0	1
transcript:AT1G09617.1	19	15	57	44
transcript:AT1G09623.1	174	163	69	56
transcript:AT1G09627.1	825	643	337	336
transcript:AT1G09633.1	0	0	0	0
transcript:AT1G09637.1	20	11	18	15
transcript:AT1G09647.1	3	13	16	13
transcript:AT1G09653.1	0	1	2	0
transcript:AT1G09657.1	0	0	0	0
transcript:AT1G09663.1	9	15	5	5
transcript:AT1G09667.1	0	0	0	0
transcript:AT1G09673.1	30	12	12	11
transcript:AT1G09677.1	132	90	97	99
transcript:AT1G76878.1	990	993	701	895
transcript:AT1G76892.1	15	24	31	30
transcript:AT1G09683.1	0	0	0	0
transcript:AT1G09693.1	0	1	0	0
transcript:AT1G09697.1	0	0	0	0
transcript:AT1G09703.1	0	0	1	0
transcript:AT1G09713.1	74	92	88	92
transcript:AT1G09717.1	0	0	0	0
transcript:AT1G09723.1	2	0	0	0
transcript:AT1G09733.1	0	0	0	0
transcript:AT1G09737.1	0	0	0	0
transcript:AT1G09743.1	1	0	0	0
transcript:AT1G09747.1	1	0	0	0
transcript:AT1G09753.1	8	7	2	5
transcript:AT1G09757.1	12	4	14	5
transcript:AT1G09763.1	0	0	0	0
transcript:AT1G09767.1	0	0	0	0
transcript:AT1G77992.1	60	41	135	131
transcript:AT1G09773.1	9	4	6	13
transcript:AT1G09777.1	48	45	45	42
transcript:AT1G09783.1	242	172	119	198
transcript:AT1G09793.1	0	0	0	0
transcript:AT1G09797.1	0	0	0	0
transcript:AT1G78265.1	308	290	667	706
transcript:AT1G09803.1	0	0	0	0
transcript:AT1G09807.1	0	0	0	0
transcript:AT1G09813.1	0	5	0	0
transcript:AT1G09823.1	121	97	64	90
transcript:AT1G09827.1	3	4	6	5
transcript:AT1G09833.1	4	14	9	2
transcript:AT1G09847.1	0	0	0	0
transcript:AT1G09853.1	0	0	0	0
transcript:AT1G09857.1	0	0	0	0
transcript:AT1G09863.1	0	2	0	0
transcript:AT1G09863.3	0	0	0	0
transcript:AT1G09863.2	0	0	0	0
transcript:AT1G09863.4	0	0	0	0
transcript:AT1G09863.5	1	1	0	0
transcript:AT1G79529.1	402	472	260	305
transcript:AT1G09887.1	6	10	12	11
transcript:AT1G09897.1	38	36	38	37
transcript:AT1G09907.1	5	4	24	29
transcript:AT1G09913.1	46	45	34	71
transcript:AT1G09917.1	24	21	21	16
transcript:AT1G09927.1	3120	3906	4893	4926
transcript:AT1G09937.1	6	5	4	3
transcript:AT1G09953.1	0	0	0	0
transcript:AT1G09957.1	0	0	0	0
transcript:AT1G80325.1	0	0	0	0
transcript:AT1G80325.2	0	0	0	0
transcript:AT1G09963.1	313	344	250	359
transcript:AT1G09967.1	0	0	0	0
transcript:AT1G09973.1	0	0	0	0
transcript:AT1G09977.1	0	0	0	0
transcript:AT1G09983.1	0	0	0	0
transcript:AT1G09987.1	46	25	26	55
transcript:AT1G09993.1	88	109	66	60
transcript:AT1G09997.1	1	4	0	0
transcript:AT2G03885.1	0	0	0	0
transcript:AT2G03895.1	245	287	407	371
transcript:AT2G03905.1	0	0	0	0
transcript:AT2G03925.1	436	524	415	379
transcript:AT2G03945.1	6	4	0	0
transcript:AT2G03975.1	539	510	348	393
transcript:AT2G03985.1	0	0	0	0
transcript:AT2G03995.1	58	73	23	51
transcript:AT2G04005.1	0	0	0	0
transcript:AT2G04015.1	0	0	0	0
transcript:AT2G04065.1	2	1	5	7
transcript:AT2G04075.1	0	0	0	0
transcript:AT2G04085.1	0	0	0	0
transcript:AT2G04095.1	0	0	0	0
transcript:AT2G04125.1	18	3	40	45
transcript:AT2G04145.1	136	165	129	170
transcript:AT2G04155.1	0	0	0	0
transcript:AT2G04175.1	0	0	0	0
transcript:AT2G04185.1	0	0	0	0
transcript:AT2G04195.1	0	0	0	0
transcript:AT2G04205.1	2	0	1	1
transcript:AT2G04215.1	0	0	0	0
transcript:AT2G04225.1	0	0	0	0
transcript:AT2G04255.1	0	0	0	0
transcript:AT2G04265.1	0	0	0	0
transcript:AT2G04285.1	0	0	0	0
transcript:AT2G04295.1	22	20	28	32
transcript:AT2G04315.1	0	0	0	0
transcript:AT2G04325.1	0	0	0	0
transcript:AT2G04335.1	0	0	0	0
transcript:AT2G04345.1	0	2	0	0
transcript:AT2G04355.1	0	0	0	0
transcript:AT2G04365.1	0	0	0	0
transcript:AT2G04405.1	0	15	5	5
transcript:AT2G04435.1	26	36	14	5
transcript:AT2G04465.1	0	0	0	2
transcript:AT2G04485.1	0	0	0	0
transcript:AT2G04505.1	0	0	0	0
transcript:AT2G04525.1	0	0	0	6
transcript:AT2G04535.1	39	37	38	31
transcript:AT2G04545.1	2	5	6	8
transcript:AT2G04555.1	17	26	14	17
transcript:AT2G04565.1	0	0	0	0
transcript:AT2G04575.1	0	0	0	0
transcript:AT2G04595.1	0	0	0	0
transcript:AT2G04605.1	0	0	0	0
transcript:AT2G04615.1	0	0	0	0
transcript:AT2G04635.1	0	0	0	0
transcript:AT2G04645.1	0	0	0	0
transcript:AT2G04655.1	0	0	2	1
transcript:AT2G04665.1	0	0	0	0
transcript:AT2G04685.1	0	0	0	0
transcript:AT2G04695.1	0	0	0	0
transcript:AT2G04715.1	0	2	0	0
transcript:AT2G04725.1	6	0	0	0
transcript:AT2G04725.2	4	10	0	0
transcript:AT2G04735.1	0	0	0	0
transcript:AT2G04745.1	0	0	0	0
transcript:AT2G04755.1	1210	1107	1233	1467
transcript:AT2G04765.1	0	0	0	0
transcript:AT2G04775.1	1	0	1	0
transcript:AT2G04785.1	0	0	0	0
transcript:AT2G04805.1	120	75	5	12
transcript:AT2G04815.1	0	0	0	0
transcript:AT2G04852.3	0	0	0	0
transcript:AT2G04852.1	0	0	0	0
transcript:AT2G04852.2	0	0	0	0
transcript:AT2G04835.1	0	0	0	0
transcript:AT2G04825.1	0	0	0	0
transcript:AT2G04855.1	0	0	0	0
transcript:AT2G04875.1	0	0	0	0
transcript:AT2G04885.1	0	0	2	0
transcript:AT2G04895.1	0	0	0	0
transcript:AT2G04905.1	0	0	0	0
transcript:AT2G04915.1	0	0	0	0
transcript:AT2G04945.1	1	0	0	0
transcript:AT2G04975.1	0	0	0	0
transcript:AT2G04985.1	0	0	0	0
transcript:AT2G04995.1	0	0	0	0
transcript:AT2G05005.1	0	0	0	0
transcript:AT2G05812.1	7	10	3	4
transcript:AT2G05812.2	383	375	413	511
transcript:AT2G05812.3	0	0	0	0
transcript:AT2G05914.1	0	0	0	0
transcript:AT2G05914.2	0	0	0	0
transcript:AT2G05015.1	0	2	0	0
transcript:AT2G05035.1	0	4	0	0
transcript:AT2G05045.1	15	7	0	0
transcript:AT2G05065.1	0	0	0	0
transcript:AT2G05075.1	52	25	50	55
transcript:AT2G05085.1	0	0	0	0
transcript:AT2G05095.1	1	0	2	2
transcript:AT2G05125.1	0	0	0	0
transcript:AT2G07213.1	0	2	0	1
transcript:AT2G05145.1	0	0	2	0
transcript:AT2G05155.1	4	2	0	0
transcript:AT2G05215.1	0	0	0	0
transcript:AT2G05205.1	0	0	0	0
transcript:AT2G05245.1	0	0	0	0
transcript:AT2G05255.1	5	4	2	3
transcript:AT2G05365.1	15	2	4	12
transcript:AT2G05395.1	0	0	0	0
transcript:AT2G05405.1	2	4	5	6
transcript:AT2G05425.1	0	0	0	0
transcript:AT2G05445.1	0	0	0	0
transcript:AT2G09795.1	0	0	0	0
transcript:AT2G09795.3	0	0	0	0
transcript:AT2G09795.2	0	0	0	0
transcript:AT2G05465.1	0	0	0	0
transcript:AT2G05485.1	0	0	0	0
transcript:AT2G05495.1	0	0	1	0
transcript:AT2G05505.1	0	1	0	0
transcript:AT2G05515.1	0	0	0	0
transcript:AT2G05535.1	0	0	0	0
transcript:AT2G05545.1	0	0	0	0
transcript:AT2G05555.1	0	1	0	0
transcript:AT2G05575.1	0	0	0	0
transcript:AT2G05585.1	0	0	0	0
transcript:AT2G10921.1	0	0	0	0
transcript:AT2G10921.4	0	0	0	0
transcript:AT2G10921.2	0	0	0	0
transcript:AT2G10921.3	0	0	0	0
transcript:AT2G11852.1	0	0	0	0
transcript:AT2G05625.1	0	0	0	0
transcript:AT2G05665.1	6	10	8	2
transcript:AT2G05675.1	0	0	0	0
transcript:AT2G05695.1	0	0	0	0
transcript:AT2G05705.1	2	0	2	0
transcript:AT2G05725.1	0	0	0	0
transcript:AT2G05785.1	0	1	0	0
transcript:AT2G05825.1	0	1	6	4
transcript:AT2G05835.1	0	0	0	0
transcript:AT2G05855.1	0	0	0	0
transcript:AT2G05865.1	0	0	0	0
transcript:AT2G05875.1	6	2	5	6
transcript:AT2G05885.1	0	0	0	0
transcript:AT2G05895.1	18	16	19	25
transcript:AT2G05905.1	0	0	0	0
transcript:AT2G05925.1	0	0	0	0
transcript:AT2G05945.1	0	0	0	0
transcript:AT2G05965.1	0	0	1	0
transcript:AT2G05975.1	0	0	0	0
transcript:AT2G06035.1	0	0	0	0
transcript:AT2G13665.1	0	0	0	0
transcript:AT2G13665.2	0	0	0	0
transcript:AT2G13665.3	0	0	0	0
transcript:AT2G06065.1	2	0	0	0
transcript:AT2G06075.1	0	0	0	0
transcript:AT2G14115.1	26	42	44	36
transcript:AT2G06085.1	0	0	0	0
transcript:AT2G06135.1	0	0	0	0
transcript:AT2G06115.1	0	0	0	0
transcript:AT2G06145.1	0	0	0	0
transcript:AT2G06175.1	0	0	0	0
transcript:AT2G06185.1	8	1	0	3
transcript:AT2G06215.1	31	22	9	15
transcript:AT2G06225.1	0	1	2	0
transcript:AT2G06275.1	0	0	0	0
transcript:AT2G06305.1	0	0	0	0
transcript:AT2G06315.1	0	0	0	0
transcript:AT2G06345.1	1	2	1	5
transcript:AT2G06355.1	41	16	4	14
transcript:AT2G06365.1	2	0	0	0
transcript:AT2G06375.1	0	0	0	0
transcript:AT2G06385.1	2	0	2	0
transcript:AT2G06395.1	0	0	0	0
transcript:AT2G06405.1	0	0	0	0
transcript:AT2G06415.1	0	0	0	0
transcript:AT2G06435.1	0	0	0	2
transcript:AT2G06445.1	0	0	0	0
transcript:AT2G06465.1	647	664	417	411
transcript:AT2G06475.1	0	1	0	0
transcript:AT2G06485.1	0	0	0	0
transcript:AT2G06495.1	0	0	0	0
transcript:AT2G06505.1	0	0	0	0
transcript:AT2G06515.1	0	0	0	0
transcript:AT2G06525.1	0	7	4	5
transcript:AT2G06535.1	0	0	0	0
transcript:AT2G06575.1	0	0	0	0
transcript:AT2G06585.1	0	0	0	0
transcript:AT2G16245.1	69	88	103	129
transcript:AT2G06595.1	0	0	0	0
transcript:AT2G06605.1	2	0	2	0
transcript:AT2G06615.1	24	18	21	11
transcript:AT2G06625.1	18	14	2	1
transcript:AT2G06635.1	0	0	0	0
transcript:AT2G06655.1	0	2	0	2
transcript:AT2G06685.1	0	0	0	0
transcript:AT2G06695.1	0	0	0	0
transcript:AT2G06705.1	0	0	0	0
transcript:AT2G06725.1	0	0	0	0
transcript:AT2G06745.1	0	0	0	0
transcript:AT2G06755.1	0	0	0	0
transcript:AT2G06765.1	4	4	5	1
transcript:AT2G06785.1	0	0	0	0
transcript:AT2G06795.1	0	0	0	1
transcript:AT2G06805.1	0	1	0	0
transcript:AT2G06815.1	0	0	0	0
transcript:AT2G06835.1	3	9	4	10
transcript:AT2G06905.1	5	0	4	1
transcript:AT2G06935.1	4	4	11	0
transcript:AT2G06945.1	0	0	0	0
transcript:AT2G06955.1	1	0	0	0
transcript:AT2G06975.1	0	0	1	0
transcript:AT2G06995.1	4	10	10	2
transcript:AT2G07005.1	0	2	0	0
transcript:AT2G07015.1	325	399	258	316
transcript:AT2G07025.1	0	0	2	0
transcript:AT2G07035.1	0	0	0	0
transcript:AT2G07045.1	0	0	0	0
transcript:AT2G07055.1	0	0	0	1
transcript:AT2G07085.1	0	0	0	0
transcript:AT2G18917.1	71	63	89	78
transcript:AT2G07095.1	0	0	0	0
transcript:AT2G07115.1	0	0	0	0
transcript:AT2G07135.1	0	0	0	0
transcript:AT2G07165.1	0	0	0	0
transcript:AT2G07175.1	164	183	136	170
transcript:AT2G07225.1	0	0	0	0
transcript:AT2G07235.1	0	0	0	0
transcript:AT2G19572.1	2749	2205	456	545
transcript:AT2G19582.1	58	74	59	93
transcript:AT2G07245.1	6	2	4	0
transcript:AT2G07255.1	0	0	0	0
