Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT1G04773.1	139	85	72	114
transcript:AT1G04783.1	0	0	0	0
transcript:AT1G04787.1	0	0	0	0
transcript:AT1G04793.1	0	0	0	0
transcript:AT1G04797.1	2	0	2	4
transcript:AT1G04803.1	11	31	7	15
transcript:AT1G04807.1	0	2	0	0
transcript:AT1G04813.1	0	0	0	0
transcript:AT1G04817.1	2	2	0	0
transcript:AT1G04823.1	31	27	40	66
transcript:AT1G04827.1	74	63	44	50
transcript:AT1G04833.1	571	513	617	408
transcript:AT1G04837.1	265	237	176	197
transcript:AT1G04847.1	0	0	0	2
transcript:AT1G04853.1	51	43	115	108
transcript:AT1G04857.1	0	2	0	0
transcript:AT1G04863.1	0	0	0	0
transcript:AT1G04873.1	53	43	75	60
transcript:AT1G04877.1	1	3	10	6
transcript:AT1G04883.1	35	40	34	58
transcript:AT1G04887.1	0	0	0	0
transcript:AT1G04893.1	10	13	15	16
transcript:AT1G04913.1	26	20	17	14
transcript:AT1G04917.1	45	48	34	47
transcript:AT1G04923.1	0	0	0	0
transcript:AT1G04927.1	55	56	29	46
transcript:AT1G04933.1	0	0	0	0
transcript:AT1G04933.2	17	16	9	17
transcript:AT1G04937.1	0	0	0	0
transcript:AT1G04943.1	0	0	0	0
transcript:AT1G04947.1	0	0	0	0
transcript:AT1G04953.1	72	35	54	49
transcript:AT1G04957.1	0	0	0	0
transcript:AT1G04963.1	0	0	0	0
transcript:AT1G04967.1	0	0	0	0
transcript:AT1G04973.1	36	48	41	60
transcript:AT1G04977.1	293	322	245	291
transcript:AT1G04983.1	0	1	0	0
transcript:AT1G04987.1	0	0	0	0
transcript:AT1G04997.1	0	0	5	0
transcript:AT1G05003.1	0	0	0	0
transcript:AT1G05007.1	0	0	0	0
transcript:AT1G05013.1	0	0	0	0
transcript:AT1G13448.1	21	20	42	37
transcript:AT1G05017.1	17	10	28	19
transcript:AT1G05023.1	39	26	43	31
transcript:AT1G05027.1	0	0	0	0
transcript:AT1G05033.1	38	61	53	77
transcript:AT1G05037.1	0	0	0	0
transcript:AT1G05043.1	39	38	11	13
transcript:AT1G05047.1	105	150	164	145
transcript:AT1G05053.1	0	0	0	0
transcript:AT1G05067.1	0	0	0	0
transcript:AT1G05073.1	0	0	0	0
transcript:AT1G05077.1	43	30	9	8
transcript:AT1G05083.1	17	15	20	24
transcript:AT1G05093.1	4	0	2	4
transcript:AT1G05097.1	0	0	0	0
transcript:AT1G05103.1	0	0	0	0
transcript:AT1G05107.1	1	2	0	3
transcript:AT1G05113.1	0	0	0	0
transcript:AT1G05117.1	0	0	0	0
transcript:AT1G05123.1	48	58	32	49
transcript:AT1G05127.1	0	0	0	0
transcript:AT1G05133.1	0	0	0	0
transcript:AT1G15002.1	164	196	331	286
transcript:AT1G05143.1	47	39	38	28
transcript:AT1G05147.1	1406	790	615	150
transcript:AT1G05153.1	69	50	30	32
transcript:AT1G15175.1	0	0	0	0
transcript:AT1G15175.3	0	0	0	0
transcript:AT1G15175.2	0	0	0	0
transcript:AT1G05163.1	21	58	41	37
transcript:AT1G05173.1	0	0	0	0
transcript:AT1G05177.1	0	0	0	0
transcript:AT1G05183.1	117	102	195	154
transcript:AT1G05187.1	79	44	65	78
