Geneid	WT_AGO1-1	WT_AGO1-2	deltaN-1	deltaN-2
transcript:at3g07095	0	0	0	0
transcript:at3g07515	0	2	0	0
transcript:at3g07685	0	0	0	0
transcript:at3g07695	0	0	0	0
transcript:at3g07755	0	0	0	0
transcript:at3g48057	0	0	0	0
transcript:at3g48201	0	2	0	1
transcript:at3g08150	0	0	0	0
transcript:at3g51375	0	0	0	0
transcript:at3g08285	0	0	0	0
transcript:at3g53015	0	0	0	0
transcript:at3g53016	0	0	0	0
transcript:at3g55512	0	0	0	0
transcript:at3g55734	0	3	0	0
transcript:at3g59884	5	3	1	0
transcript:at3g09515	1	0	0	1
transcript:at3g09615	7	4	0	6
transcript:at3g61897	4	8	1	1
transcript:at3g63375	9	8	5	6
transcript:at4g00885	0	0	0	0
transcript:at4g04095	0	0	0	0
transcript:at4g04125	733	972	1590	1304
transcript:at4g03039	0	0	0	0
transcript:at4g04365	0	0	0	0
transcript:at4g03438	1	1	0	0
transcript:at4g03445	16	6	8	13
transcript:at4g03455	0	0	0	0
transcript:at4g04825	0	1	0	0
transcript:at4g04835	0	0	0	2
transcript:at4g05105	0	0	0	0
transcript:at4g05508	0	0	0	1
transcript:at4g05305	0	0	0	0
transcript:at4g08116	0	0	0	0
transcript:at4g05415	0	0	0	0
transcript:at4g05455	0	0	0	0
transcript:at4g10345	0	0	0	0
transcript:at4g05800	0	0	0	0
transcript:at4g05855	0	0	0	0
transcript:at4g05860	0	0	0	0
transcript:at4g05925	0	0	0	0
transcript:at4g05930	0	0	0	0
transcript:at4g06075	1	0	2	7
transcript:at4g13493	34	32	35	40
transcript:at4g13494	24	31	35	58
transcript:at4g13554	1	2	0	0
transcript:at4g13555	0	0	0	0
transcript:at4g06110	1	6	5	1
transcript:at4g13564	0	1	2	7
transcript:at4g06130	0	4	1	0
transcript:at4g14504	5	4	5	0
transcript:at4g06260	0	2	0	0
transcript:at4g14811	0	0	0	0
transcript:at4g17788	4	4	0	2
transcript:at4g06865	1	1	7	4
transcript:at4g19395	3	3	10	1
transcript:at4g06915	0	0	0	0
transcript:at4g07000	0	0	0	0
transcript:at4g07005	0	0	0	0
transcript:at4g21362	0	0	0	0
transcript:at4g21595	0	0	0	0
transcript:at4g07080	0	0	0	0
transcript:at4g07100	0	1	0	0
transcript:at4g23375	0	0	0	0
transcript:at4g23387	0	0	0	2
transcript:at4g23713	1	0	0	0
transcript:at4g24415	11	16	15	20
transcript:at4g07565	0	0	0	0
transcript:at4g27765	1	1	1	0
transcript:at4g08335	20	14	20	26
transcript:at4g30972	0	0	0	0
transcript:at4g31877	2	2	1	2
transcript:at4g32445	0	2	0	0
transcript:at4g09735	0	0	0	0
transcript:at4g09925	66	95	61	75
transcript:at5g01747	3	3	1	1
transcript:at5g02035	0	0	0	0
transcript:at5g03552	46	36	36	42
transcript:at5g04275	0	0	0	0
transcript:at5g08185	6	3	3	4
transcript:at5g08210	28	55	23	51
transcript:at5g08712	1	0	0	0
transcript:at5g08717	0	0	0	0
transcript:at5g01735	0	0	0	0
transcript:at5g01745	0	0	0	0
transcript:at5g01755	0	0	0	0
transcript:at5g10945	0	2	1	0
transcript:at5g01915	15	19	9	12
transcript:at5g11977	1	0	2	0
transcript:at5g13887	3	0	2	2
transcript:at5g14545	38	38	55	70
transcript:at5g14565	0	2	4	5
transcript:at5g15833	0	0	0	0
transcript:at5g03145	0	0	0	0
transcript:at5g03225	0	0	0	0
transcript:at5g03265	1	2	3	0
transcript:at5g03305	0	0	0	0
transcript:at5g03425	0	1	0	0
transcript:at5g03475	4	12	7	2
transcript:at5g23065	0	0	2	0
transcript:at5g24825	0	0	0	0
transcript:at5g04145	0	0	0	0
transcript:at5g26038	72	94	85	76
transcript:at5g26147	0	0	0	0
transcript:at5g04255	0	0	0	0
transcript:at5g04415	176	140	126	165
transcript:at5g27807	2	4	0	2
transcript:at5g04915	0	0	0	0
transcript:at5g04935	0	0	0	3
transcript:at5g04955	0	0	0	0
transcript:at5g04965	0	0	0	0
transcript:at5g04975	0	0	0	0
transcript:at5g04985	0	0	0	0
transcript:at5g04995	0	0	0	0
transcript:at5g05005	0	0	0	0
transcript:at5g05035	0	0	0	0
transcript:at5g35407	0	2	0	0
transcript:at5g05185	0	0	0	0
transcript:at5g05315	0	0	0	0
transcript:at5g05505	0	0	0	0
transcript:at5g05915	0	0	0	0
transcript:at5g39635	2	0	2	0
transcript:at5g39693	0	0	1	0
transcript:at5g40384	0	0	4	0
